XXXX0000;-------- FRANCE ---------
FRXX5844;Blienschwiller
FRXX0014;Blois
FRXX4003;Blonville-sur-Mer
FRXX0015;Bobigny
FRXX1073;Bocognano
FRXX2372;Boe
FRXX5962;Boeschepe
FRXX2493;Bogny-sur-Meuse
FRXX0218;Bois des Seignus
FRXX6659;Bois-Colombes
FRXX3577;Bois-d'Arcy
FRXX3625;Bois-Grenier
FRXX4516;Boissy-le-Sec
FRXX2994;Boissy-Saint-Leger
FRXX5333;Boissy-sous-Saint-Yon
FRXX1609;Bollene
FRXX2616;Bollwiller
FRXX2783;Bompas
FRXX1666;Bonchamp-les-Laval
FRXX5985;Bondoufle
FRXX1334;Bondues
FRXX5974;Bondy
FRXX5417;Bonifacio
FRXX4341;Bonnelles
FRXX3756;Bonneuil-sur-Marne
FRXX0219;Bonneval-sur-Arc
FRXX1323;Boran-sur-Oise
FRXX0016;Bordeaux
FRXX5734;Bormes-les-Mimosas
FRXX1339;Bouaye
FRXX1171;Boucau
FRXX4736;Bouc-Bel-Air
FRXX5383;Bouchemaine
FRXX1647;Bouesse
FRXX5954;Bougainville
FRXX4360;Bougival
FRXX5585;Boujan-sur-Libron
FRXX5233;Boulancourt
FRXX4401;Boulange
FRXX2168;Bouligny
FRXX0271;Boulogne
FRXX0281;Boulogne-Billancourt
FRXX1150;Boulzicourt
FRXX2963;Bouray-sur-Juine
FRXX0405;Bourbon-Lancy
FRXX0393;Bourbonne-les-Bains
FRXX2463;Bourcefranc-le-Chapus
FRXX5705;Bouret-sur-Canche
FRXX0017;Bourg-en-Bresse
FRXX0018;Bourges
FRXX6826;Bourg-la-Reine
FRXX2558;Bourg-les-Valence
FRXX0391;Bourgoin
FRXX0142;Bourg-Saint-Maurice
FRXX1922;Bourron-Marlotte
FRXX2227;Bousbecque
FRXX4104;Bousies
FRXX2948;Boussois
FRXX1538;Bouvaincourt-sur-Bresle
FRXX3432;Bouvigny-Boyeffles
FRXX6689;Bouville
FRXX6080;Bouxieres-aux-Dames
FRXX1029;Brando
FRXX5731;Bras
FRXX4710;Brazey-en-Plaine
FRXX2853;Brebieres
FRXX2329;Brem-sur-Mer
FRXX2210;Brenod
FRXX1296;Bressols
FRXX0019;Brest
FRXX3233;Bretteville-sur-Odon
FRXX5773;Breuil-le-Sec
FRXX2513;Breuillet
FRXX3793;Breuschwickersheim
FRXX0143;Briancon
FRXX0213;Brides-les-Bains
FRXX4737;Brie
FRXX1915;Brinckheim
FRXX5307;Brindas
FRXX0406;Brioude
FRXX0144;Brive
FRXX4763;Brive-la-Gaillarde
FRXX6388;Bron
FRXX2613;Bronvaux
FRXX1910;Brouderdorff
FRXX4588;Brouilla
FRXX1897;Brou-sur-Chantereine
FRXX0372;Bruay-en-Artois
FRXX5167;Bruay-sur-l'Escaut
FRXX3037;Brue-Auriac
FRXX2069;Bruges
FRXX3882;Brugheas
FRXX5243;Brunoy
FRXX3562;Brunstatt
FRXX2243;Bruyeres-le-Chatel
FRXX3761;Bruyeres-sur-Oise
FRXX5330;Bry-sur-Marne
FRXX4361;Buc
FRXX5269;Buffieres
FRXX6114;Buironfosse
FRXX6585;Burbure
FRXX1345;Busigny
FRXX4528;Bussang
FRXX5871;Buxerolles
FRXX1076;Cabannes
FRXX6495;Cabestany
FRXX1567;Cachan
FRXX3022;Caderousse
FRXX4799;Cadolive
FRXX0020;Caen
FRXX0021;Cagnes-sur-Mer
FRXX3231;Cagny
FRXX0022;Cahors
FRXX3957;Caissargues
FRXX0272;Calais
FRXX6206;Calcatoggio
FRXX5687;Caluire-et-Cuire
FRXX1128;Calvisson
FRXX5708;Camblain-Chatelain
FRXX0145;Cambrai
FRXX6758;Cancale
FRXX2207;Candas
FRXX7703;Canet-en-Roussillon
FRXX0023;Cannes
FRXX4230;Canohes
FRXX0127;Cap Cepet
FRXX2881;Capbreton
FRXX2229;Cappelle-la-Grande
FRXX0461;Capvern les Bains
FRXX3946;Carantec
FRXX0024;Carbon-Blanc
FRXX5078;Carcans
FRXX0025;Carcassonne
FRXX5476;Cargese
FRXX4008;Cargiaca
FRXX4852;Carnieres
FRXX2740;Carnoules
FRXX5480;Carnoux-en-Provence
FRXX1113;Caroual
FRXX0146;Carpentras
FRXX3999;Carpiquet
FRXX0026;Carquefou
FRXX5755;Carqueiranne
FRXX5801;Carrieres-sur-Seine
FRXX4970;Carvin
FRXX2469;Cassis
FRXX5185;Castelginest
FRXX0319;Casteljaloux
FRXX0365;Castellane
FRXX0330;Castelnaudary
FRXX4333;Castelnau-d'Auzan
FRXX0027;Castelnau-de-Medoc
FRXX3613;Castelnau-le-Lez
FRXX3860;Castelnau-sur-Gupie
FRXX0331;Castres
FRXX3782;Caudan
FRXX4586;Caumont-sur-Durance
FRXX0220;Cauterets
FRXX1878;Caux
FRXX2018;Cavalaire-sur-Mer
FRXX5562;Caveirac
FRXX1505;Cayeux-sur-Mer
FRXX1989;Cebazat
FRXX2068;Cenon
FRXX2401;Cereste
FRXX0297;Cergy
FRXX4313;Cervera de la Marenda
FRXX4600;Cesson-Sevigne
FRXX6666;Cestas
FRXX4536;Cezy
FRXX6071;Chailland
FRXX5508;Chaillevette
FRXX2289;Chailley
FRXX0554;Chaillol
FRXX1537;Chailly-en-Biere
FRXX0415;Chalindrey
FRXX0307;Challans
FRXX2362;Chalons-en-Champagne
FRXX0394;Chalons-sur-Marne
FRXX0418;Chalon-sur-Saone
FRXX2656;Chamalieres
FRXX0147;Chambery
FRXX5767;Chambly
FRXX1402;Chambourcy
FRXX6757;Chambray-les-Tours
FRXX0212;Chamonix
FRXX4930;Champagne
FRXX6542;Champagne-au-Mont-d'Or
FRXX3000;Champagne-sur-Oise
FRXX4893;Champagne-sur-Seine
FRXX0522;Champagny-en-Vanoise
FRXX4487;Champdor
FRXX6082;Champigneulles
FRXX7500;Champigny
FRXX0290;Champigny-sur-Marne
FRXX1919;Champs-sur-Marne
FRXX3764;Champ-sur-Layon
FRXX6119;Champtercier
FRXX0530;Chamrousse
FRXX2438;Chancelade
FRXX7010;Change
FRXX7005;Chaniers
FRXX6298;Chantepie
FRXX0028;Chantilly
FRXX4441;Chantome
FRXX0313;Chantonnay
FRXX5154;Chaponost
FRXX5686;Charbonnieres-les-Bains
FRXX1566;Charenton-le-Pont
FRXX1790;Charleval
FRXX0205;Charleville-Mezieres
FRXX4925;Charnay-les-Macon
FRXX0029;Chartres
FRXX4156;Chartrettes
FRXX5032;Chasse-sur-Rhone
FRXX5726;Chassieu
FRXX0118;Chassiron
FRXX0309;Chateaubriant
FRXX2328;Chateau-d'Olonne
FRXX0385;Chateau-du-Loir
FRXX3526;Chateaugay
FRXX1608;Chateauneuf-de-Gadagne
FRXX5295;Chateauneuf-du-Pape
FRXX1725;Chateauneuf-Grasse
FRXX5279;Chateauneuf-sur-Sarthe
FRXX6198;Chateaurenard
FRXX0351;Chateau-Renault
FRXX0030;Chateauroux
FRXX5402;Chateauroux-les-Alpes
FRXX0468;Chatel
FRXX0031;Chatelaillon
FRXX1265;Chatelguyon
FRXX0384;Chatellerault
FRXX4494;Chatenay-Malabry
FRXX5984;Chatenois-les-Forges
FRXX4347;Chatenoy-le-Royal
FRXX4495;Chatillon
FRXX3751;Chatillon-sur-Colmont
FRXX0348;Chatillon-sur-Indre
FRXX0387;Chatillon-sur-Seine
FRXX6538;Chatou
FRXX6436;Chaudeyrolles
FRXX6296;Chaumere
FRXX0416;Chaumont
FRXX6061;Chaunay
FRXX3774;Chauray
FRXX1263;Chauriat
FRXX5987;Chaussy
FRXX6004;Chaux
FRXX1052;Chaux-Neuve
FRXX1365;Chavanod
FRXX1519;Chaville
FRXX0221;Chedde
FRXX5631;Chelles
FRXX1569;Chennevieres-sur-Marne
FRXX4705;Chenove
FRXX0032;Cherbourg
FRXX1458;Cherbourg-Octeville
FRXX3753;Cherizet
FRXX6728;Cheroy
FRXX4585;Cheval-Blanc
FRXX3813;Chevilly-Larue
FRXX2813;Chevreuse
FRXX6765;Chiche
FRXX2957;Chilly-Mazarin
FRXX6741;Chiroubles
FRXX2721;Chiry-Ourscamp
FRXX5747;Choisy-au-Bac
FRXX3747;Choisy-le-Roi
FRXX0033;Cholet
FRXX0526;Chorges
FRXX6496;Claira
FRXX1624;Claix
FRXX3712;Clamart
FRXX2928;Clavy-Warby
FRXX1875;Cleder
FRXX0120;Clermont-Ferrand
FRXX2214;Clichy
FRXX6711;Clichy-sous-Bois
FRXX0306;Clisson
FRXX0222;Clot Meyran
FRXX5894;Clouange
FRXX2547;Codognan
FRXX1571;Coeuilly
FRXX0148;Cognac
FRXX1423;Collegien
FRXX6684;Collemiers
FRXX6457;Collobrieres
FRXX2723;Collonges-au-Mont-d'Or
FRXX0034;Colmar
FRXX1751;Colombelles
FRXX0287;Colombes
FRXX6450;Colomiers
FRXX0469;Combloux
FRXX1917;Combs-la-Ville
FRXX6498;Comines
FRXX0407;Commentry
FRXX0357;Compiegne
FRXX2475;Conca
FRXX3196;Concarneau
FRXX6695;Condat-sur-Vienne
FRXX6652;Conde-Folie
FRXX1678;Conde-sur-Vire
FRXX0333;Condom
FRXX4389;Conflans-Sainte-Honorine
FRXX0342;Confolens
FRXX5449;Congenies
FRXX5932;Corbara
FRXX1276;Corbas
FRXX5935;Corbelin
FRXX0397;Corbigny
FRXX4176;Cordelle
FRXX1695;Cormeilles-en-Parisis
FRXX3111;Cormontreuil
FRXX5035;Corne
FRXX5062;Corneilla-la-Riviere
FRXX2885;Coron
FRXX3916;Corrano
FRXX0400;Cosne-sur-Loire
FRXX6319;Cossigny
FRXX3225;Coti-Chiavari
FRXX1252;Cotlliure
FRXX1633;Coubron
FRXX4849;Coudekerque-Branche
FRXX3926;Coudoux
FRXX6683;Couilly-Pont-aux-Dames
FRXX2879;Coulanges-les-Nevers
FRXX0035;Coulans
FRXX4958;Coullons
FRXX6550;Coulogne
FRXX7009;Coulommiers
FRXX3049;Coulon
FRXX0292;Courbevoie
FRXX3394;Courcelles-les-Lens
FRXX0471;Courchevel
FRXX4619;Courcouronnes
FRXX5275;Courdimanche
FRXX1565;Courgenard
FRXX6042;Courlay
FRXX5582;Cournonterral
FRXX4168;Courrieres
FRXX5297;Courthezon
FRXX6705;Couville
FRXX6690;Couzeix
FRXX2027;Coye-la-Foret
FRXX5231;Cozzano
FRXX3684;Crach
FRXX3851;Creances
FRXX3480;Creil
FRXX5119;Crespieres
FRXX1529;Crespin
FRXX0451;Crest-Voland Cohennoz
FRXX0284;Creteil
FRXX0200;Creuse
FRXX2172;Creutzwald
FRXX0223;Crey-Rond
FRXX5475;Cristinacce
FRXX6320;Croissy-Beaubourg
FRXX4369;Croissy-sur-Seine
FRXX2950;Croix
FRXX1320;Crolles
FRXX3841;Cros-de-Cagnes
FRXX6776;Crosne
FRXX1826;Croth
FRXX1848;Cruas
FRXX1589;Crusnes
FRXX1446;Dainville
FRXX1262;Dallet
FRXX5046;Damgan
FRXX5838;Dammartin-en-Serve
FRXX6173;Damprichard
FRXX4219;Dannes
FRXX5152;Dardilly
FRXX5911;Dargnies
FRXX2979;Daumeray
FRXX0149;Dax
FRXX0150;Deauville
FRXX0334;Decazeville
FRXX4101;Dechy
FRXX1864;Deluz
FRXX3234;Demouville
FRXX2876;Descartes
FRXX5388;Desertines
FRXX2377;Deuil-la-Barre
FRXX5821;Deville-les-Rouen
FRXX1378;Didenheim
FRXX0224;Dieppe
FRXX0395;Dieuze
FRXX0211;Digne-les-Bains
FRXX0036;Dijon
FRXX5192;Distroff
FRXX0419;Dole
FRXX4016;Dolus-d'Oleron
FRXX7006;Domene
FRXX3095;Domgermain
FRXX6093;Domont
FRXX5208;Dompierre-Becquincourt
FRXX6717;Dompierre-les-Ormes
FRXX2346;Dompierre-sur-Mer
FRXX4405;Don
FRXX4988;Donges
FRXX5855;Donville-les-Bains
FRXX5268;Donzy-le-National
FRXX1985;Dordives
FRXX5058;Dorignies
FRXX1470;Dornecy
FRXX2899;Dornes
FRXX0311;Doue
FRXX4414;Dourges
FRXX1311;Draguignan
FRXX0293;Drancy
FRXX0037;Dreux
FRXX6714;Dugny
FRXX0151;Dunkerque
FRXX2313;Durfort-Lacapelette
FRXX2285;Eaubonne
FRXX4316;Echandelys
FRXX4195;Echirolles
FRXX4319;Eckbolsheim
FRXX3127;Ecouen
FRXX1702;Ecouflant
FRXX2084;Ecquevilly
FRXX3395;Ecully
FRXX3669;Egligny
FRXX2961;Egly
FRXX2624;Egreville
FRXX1077;Eguilles
FRXX3762;Elancourt
FRXX4295;Elincourt-Sainte-Marguerite
FRXX1760;Elliant
FRXX2259;Eloyes
FRXX4328;Elysee
FRXX0124;Embrun
FRXX5613;Emerainville
FRXX5792;Emerchicourt
FRXX4992;Emeville
FRXX1516;Empurany
FRXX3408;Enchenberg
FRXX6721;Enghien-les-Bains
FRXX1218;Ennery
FRXX6014;Entraigues-sur-la-Sorgue
FRXX3708;Entressen
FRXX4437;Entzheim
FRXX2567;Epernon
FRXX0152;Epinal
FRXX3737;Epinay-sous-Senart
FRXX3750;Epinay-sur-Seine
FRXX2131;Epone
FRXX2873;Equeurdreville-Hainneville
FRXX6413;Equihen-Plage
FRXX2286;Eragny
FRXX2234;Ercheu
FRXX5292;Erdeven
FRXX1761;Ergue-Gaberic
FRXX2375;Ermont
FRXX3338;Erquinghem-Lys
FRXX4079;Ersa
